"Lot_Size","Num_of_Bedrooms","Unit_Type","Electric_Cost","Internet_Access","Fiber_Optic","Heatfuel_Type","Num_of_Rooms","Water_Cost","Built_Year","Ownership_Status","Mortgage_Equity_Status","Fam_Type_Emp_Status","Household_Language","Fam_Type_Household_Status","Children_Age","Residence_Duration","Family_Size","Num_of_Children","Under_18","Over_60","Over_65","Num_of_Workers","Household_Work_Exp","Household_Work_Status","Num_of_Vehicles","Mobile_Broadband","Prediction"
"1",4,"2",260,"1","2","1",8,2000,"7","2",NA,NA,"1","7","4","1",NA,0,"0","0","0",NA,NA,NA,3,"1","0"
"1",3,"2",170,"1","2","1",6,100,"3","1","2","1","1","1","4","5",4,0,"0","0","0",3,"1","1",4,"2","0"
"1",3,"2",50,"1","2","3",6,330,"6","1","3",NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"3",60,"1","2","7",5,100,"6","1","2","2","2","1","1","3",4,2,"1","0","0",1,"3","3",2,"1","0"
"1",3,"2",70,"1","2","1",6,1900,"3","1","3","1","1","1","4","2",2,0,"0","0","0",2,"1","1",2,"2","1"
"1",3,"3",80,"1","2","1",5,650,"3","1","3",NA,"2","5","4","4",NA,0,"0","0","0",NA,NA,NA,3,"1","0"
"1",3,"2",80,"3",NA,"3",7,1300,"6","2",NA,"2","1","1","2","3",3,1,"1","0","0",1,"3","3",2,NA,"0"
"2",7,"2",530,"1","2","1",9,3000,"4","2",NA,"8","1","3","4","7",2,0,"0","1","1",1,"15","15",2,"2","0"
"1",3,"2",80,"1","1","1",6,60,"4","1","3","1","4","1","1","2",3,1,"1","0","0",2,"1","1",3,"2","0"
"1",3,"2",100,"1","2","1",5,670,"3","1","3",NA,"1","6","4","5",NA,0,"0","1","0",NA,NA,NA,1,"1","0"
"1",4,"2",250,"1","2","1",9,1200,"6","1","3","1","1","1","1","4",4,2,"1","0","0",2,"1","1",2,"1","1"
"1",3,"3",150,"1","2","1",5,1,"5","1","3","4","1","1","4","3",2,0,"0","2","1",0,"9","9",3,"2","0"
"1",3,"2",4,"3",NA,"2",10,500,"6","1","2","1","1","1","2","1",3,1,"1","0","0",2,"1","1",4,NA,"0"
"1",2,"2",80,"1","2","2",3,120,"5","1","3","4","1","1","4","5",2,0,"0","2","2",0,"9","9",2,"2","0"
"1",3,"2",50,"3",NA,"3",6,1200,"5","1","3","3","2","1","4","5",2,0,"0","0","0",1,"8","7",3,NA,"0"
"1",3,"2",220,"1","2","3",6,650,"6","2",NA,"2","1","1","4","6",3,0,"0","2","0",2,"7","3",4,"1","0"
"1",3,"2",180,"1","2","1",5,20,"8","1","3","1","1","1","4","2",2,0,"0","0","0",2,"1","1",2,"1","0"
"1",4,"2",30,"1","2","1",7,360,"4","1","3","5","4","2","4","6",3,0,"0","2","2",0,"12","11",2,"2","0"
"1",3,"2",60,"1","2","1",5,1000,"6","1","3","2","2","1","2","5",5,2,"1","0","0",2,"6","3",5,"2","0"
"1",4,"2",450,"1","2","9",6,2400,"4","1","3","8","3","3","4","7",3,0,"0","1","1",1,"15","15",1,"2","0"
"1",4,"2",50,"1","2","1",7,600,"6","1","3","2","4","1","1","3",4,2,"1","0","0",1,"3","3",5,"2","0"
"1",3,"2",50,"3",NA,"1",5,790,"4","2",NA,NA,"4","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",3,"2",130,"1","2","1",5,1000,"5","1","3","1","1","1","4","5",2,0,"0","2","2",2,"5","4",2,"2","0"
"1",3,"2",180,"1","2","3",7,30,"6","1","1","1","1","1","4","6",3,0,"0","1","1",3,"5","1",3,"1","0"
"2",3,"2",200,"1","2","6",7,2,"4","1","3","1","1","1","4","3",2,0,"0","0","0",2,"2","1",2,"1","0"
"1",2,"2",120,"1","2","1",5,2100,"1","1","3","1","4","1","2","5",3,1,"1","0","0",2,"2","1",4,"2","0"
"1",3,"2",140,"1","1","1",7,1700,"2","1","3","1","1","1","1","3",5,3,"1","0","0",2,"2","1",2,"2","0"
"1",3,"2",120,"1","1","1",4,150,"3","2",NA,"1","2","1","4","5",3,0,"0","0","0",3,"2","1",2,"1","0"
"1",5,"2",70,"1","2","1",7,160,"3","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",50,"1","1","1",4,1400,"6","1","2","1","4","1","4","4",2,0,"0","0","0",2,"1","1",3,"2","0"
"1",3,"3",150,"1","2","3",9,680,"1","1","3","2","3","1","3","4",4,2,"1","0","0",1,"3","3",2,"1","0"
"1",3,"2",260,"1","2","1",5,700,"3","1","3","2","2","1","3","3",4,2,"1","0","0",1,"3","3",3,"1","0"
"3",2,"2",240,"1","2","2",5,2,"3","1","1","2","1","1","4","6",2,0,"0","0","0",1,"3","3",2,"1","0"
"1",3,"2",50,"1","2","1",6,1200,"4","1","3",NA,"1","4","4","4",NA,0,"0","1","0",NA,NA,NA,2,"1","0"
"1",4,"2",300,"1","2","1",8,600,"7","1","3",NA,"1","1","3","5",6,3,"1","1","1",2,"2",NA,4,"1","0"
"1",5,"2",250,"1","1","1",8,1600,"3","1","3","1","2","1","2","5",5,2,"1","1","1",2,"2","1",3,"2","0"
"2",4,"2",400,"1","2","6",7,250,"7","1","3","1","1","1","2","5",8,3,"1","0","0",3,"4","1",4,"1","0"
"1",3,"2",240,"1","2","1",6,50,"3","2",NA,"4","1","1","4","7",4,0,"0","2","2",2,"9","9",2,"2","0"
"1",4,"2",110,"1","2","1",7,900,"4","1","2","4","2","1","4","7",2,0,"0","2","2",0,"9","9",3,"2","0"
"1",3,"2",300,"1","2","1",5,1900,"6","1","3","2","1","1","3","3",4,2,"1","0","0",1,"3","3",2,"2","0"
"2",3,"1",2,"3",NA,"1",5,2,"6","1","3",NA,"1","6","4","3",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",3,"2",240,"1","1","1",6,1100,"3","1","3","1","1","1","2","1",4,2,"1","0","0",2,"1","1",2,"2","0"
"1",3,"2",60,"3",NA,"1",6,840,"4","2",NA,"4","1","1","4","6",2,0,"0","2","2",0,"9","9",2,NA,"0"
"1",4,"2",50,"1","2","1",8,600,"4","1","3",NA,"4","5","4","3",NA,0,"0","0","0",NA,NA,NA,3,"1","0"
"1",3,"2",50,"1","2","1",6,840,"7","1","3","4","2","1","4","6",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",200,"1","2","1",8,100,"5","1","2","1","1","1","4","3",2,0,"0","2","2",2,"1","1",2,"1","1"
"1",2,"2",130,"1","2","1",7,200,"2","1","3",NA,"1","4","4","7",NA,0,"0","1","0",NA,NA,NA,3,"1","0"
"1",1,"2",60,"1","2","1",5,1600,"1","1","3","2","1","1","4","6",2,0,"0","0","0",1,"7","3",2,"1","0"
"1",3,"2",70,"3",NA,"1",6,600,"3","2",NA,"4","2","1","4","7",2,0,"0","2","2",0,"9","9",2,NA,"0"
"1",7,"2",150,"1","2","1",9,130,"13","1","3","1","1","1","2","4",4,1,"1","0","0",3,"1","1",4,"2","1"
"1",4,"2",30,"1","2","1",6,140,"3","2",NA,"6","1","2","4","7",2,0,"0","0","0",0,"12","12",1,"2","0"
"2",3,"2",190,"1","2","3",5,2,"8","2",NA,"4","1","1","2","4",3,1,"1","2","1",0,"9","9",2,"1","0"
"1",4,"2",120,"1","2","1",7,850,"4","2",NA,"2","2","1","4","6",3,0,"0","0","0",2,"7","3",3,"2","0"
"1",2,"1",1,"3",NA,"1",4,1,"6","2",NA,"4","1","1","4","4",2,0,"0","1","1",0,"9","9",2,NA,"0"
"1",3,"2",200,"1","2","1",6,750,"3","1","3","8","2","3","4","5",3,0,"0","2","2",1,"15","15",1,"1","0"
"1",5,"2",220,"1","2","1",9,1000,"4","2",NA,"8","2","3","4","7",4,0,"0","2","1",2,"15","15",4,"1","0"
"1",3,"2",40,"3",NA,"1",5,1100,"3","2",NA,"4","4","1","4","6",2,0,"0","2","2",0,"9","9",2,NA,"0"
"1",3,"2",180,"1","2","1",4,610,"14","1","3",NA,"4","6","4","3",NA,0,"0","1","1",NA,NA,NA,2,"1","0"
"1",4,"2",120,"3",NA,"1",7,1800,"4","2",NA,NA,"1","6","4","7",NA,0,"0","0","0",NA,NA,NA,1,NA,"0"
"3",2,"2",130,"1","2","2",6,2,"7","1","3","2","1","1","3","3",4,2,"1","0","0",2,"4","3",3,"1","0"
"1",3,"2",40,"1","2","1",6,600,"4","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,2,"2","0"
"1",3,"2",200,"1","2","1",6,1000,"2","1","3","1","4","1","2","5",4,1,"1","0","0",3,"1","1",4,"2","0"
"1",4,"2",100,"1","2","1",6,850,"6","1","3","1","2","1","1","4",4,2,"1","0","0",2,"1","1",2,"2","0"
"1",3,"2",80,"1","2","3",4,300,"3","1","3","1","4","1","4","4",2,0,"0","0","0",2,"1","1",3,"2","0"
"1",3,"2",130,"1","1","1",6,180,"11","1","3","2","2","1","2","4",6,4,"1","0","0",1,"6","3",4,"2","0"
"1",3,"2",90,"1","1","1",7,900,"1","1","3",NA,"1","6","4","5",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",4,"2",390,"1","2","3",7,870,"7","1","3","2","1","1","4","3",4,0,"0","0","0",2,"7","3",4,"2","0"
"1",4,"2",80,"1","2","7",7,80,"5","1","3","4","2","1","1","6",4,1,"1","2","2",0,"9","9",3,"2","0"
"2",4,"2",200,"1","2","2",7,2400,"7","1","4","2","1","1","4","6",2,0,"0","2","2",2,"4","3",2,"2","0"
"1",3,"2",450,"1","2","3",5,4100,"3","2",NA,"8","1","3","4","7",2,0,"0","1","1",1,"15","15",3,"1","0"
"1",2,"2",60,"1","1","1",4,90,"2","2",NA,NA,"1","6","4","4",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"1",3,"2",120,"1","2","1",5,2000,"2","1","3","2","2","1","3","7",7,2,"1","0","0",3,"7","3",4,"2","0"
"1",3,"2",140,"1","2","3",5,300,"3","1","3","8","2","3","4","7",4,0,"0","2","1",1,"15","15",2,"2","0"
"1",3,"2",200,"1","2","1",5,1600,"5","1","3","4","1","1","4","7",2,0,"0","2","0",0,"9","9",3,"1","0"
"1",3,"2",90,"1","2","1",5,1300,"6","1","2","1","4","1","4","6",3,0,"0","1","1",2,"1","1",3,"2","0"
"1",4,"2",570,"1","2","1",7,1000,"8","2",NA,"4","2","1","4","3",6,0,"0","2","2",3,"9","9",4,"2","0"
"2",2,"2",160,"3",NA,"2",4,2,"5","1","2","8","1","3","4","5",2,0,"0","1","1",1,"15","15",2,NA,"0"
"1",3,"2",70,"1","1","3",6,1800,"8","1","2","1","3","1","3","2",5,3,"1","0","0",2,"4","1",2,"1","0"
"1",3,"2",50,"1","2","1",5,1200,"3","1","3","2","2","1","3","4",7,2,"1","0","0",3,"3","3",4,"1","0"
"1",5,"2",120,"1","2","1",7,1300,"5","1","3","1","1","1","4","2",2,0,"0","0","0",2,"1","1",2,"1","0"
"1",2,"2",40,"3",NA,"1",4,500,"3","1","2",NA,"1","6","4","6",NA,0,"0","0","0",NA,NA,NA,1,NA,"0"
"1",3,"2",170,"1","2","1",7,600,"4","2",NA,"6","2","2","2","5",2,1,"1","0","0",1,"11","12",3,"1","0"
"1",1,"1",50,"1","2","2",3,4100,"7","2",NA,"2","2","1","4","3",2,0,"0","0","0",1,"7","3",3,"2","0"
"1",3,"2",150,"1","2","1",6,80,"3","1","3","1","1","1","2","4",4,2,"1","0","0",2,"1","1",3,"2","0"
"1",4,"2",350,"1","2","1",6,1200,"5","1","2","2","1","1","4","6",2,0,"0","1","0",2,"4","3",2,"1","0"
"1",3,"2",40,"1","2","1",6,120,"1","1","3","1","1","1","4","4",2,0,"0","0","0",2,"1","1",3,"2","0"
"1",3,"2",70,"1","2","1",6,2500,"2","1","3","1","2","1","4","6",5,0,"0","0","0",2,"7","4",3,"1","0"
"1",2,"1",30,"1","2","1",4,1,"5","2",NA,NA,"1","4","4","3",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",4,"2",180,"1","2","1",10,1200,"10","1","3","1","1","1","3","3",4,2,"1","0","0",2,"1","1",2,"2","1"
"1",4,"2",120,"1","2","1",7,1000,"4","1","3","2","1","1","2","5",5,3,"1","0","0",1,"7","3",2,"2","0"
"1",4,"2",380,"1","2","1",10,70,"7","1","3","3","1","1","1","3",4,2,"1","0","0",1,"7","7",2,"1","0"
"1",4,"2",200,"1","2","1",7,1200,"5","1","2","3","5","1","4","7",2,0,"0","2","2",1,"6","7",2,"1","0"
"1",3,"2",90,"1","2","3",7,1500,"6","1","3","1","4","1","1","4",3,1,"1","0","0",2,"1","1",2,"1","0"
"1",5,"2",350,"1","2","3",8,1300,"11","1","3","1","2","1","3","4",6,3,"1","0","0",2,"1","1",4,"2","0"
"1",3,"2",100,"1","2","1",6,320,"7","2",NA,NA,"1","4","4","5",NA,0,"0","1","0",NA,NA,NA,1,"2","0"
"1",3,"2",180,"1","2","1",5,360,"1","1","3",NA,"1","7","4","5",NA,0,"0","0","0",NA,NA,NA,2,"2","0"
"1",3,"3",200,"1","2","1",5,720,"6","1","2","2","1","1","4","7",2,0,"0","2","2",1,"7","3",2,"1","0"
"1",3,"2",50,"1","1","1",6,480,"4","1","3","1","2","1","4","6",2,0,"0","2","0",2,"1","1",2,"2","0"
"1",3,"2",70,"1","1","1",5,1500,"4","1","2",NA,"1","6","4","6",NA,0,"0","1","0",NA,NA,NA,1,"2","0"
"1",5,"3",400,"1","1","3",14,3000,"2","1","3","5","2","2","2","5",3,0,"1","1","0",3,"11","10",6,"1","0"
"1",4,"2",70,"1","2","3",9,130,"8","1","3","7","2","3","3","3",3,2,"1","0","0",1,"13","13",2,"1","0"
"1",3,"2",40,"1","2","1",5,790,"12","1","3",NA,"2","4","4","4",NA,0,"0","0","0",NA,NA,NA,1,"2","0"
"1",2,"3",40,"1","2","1",6,1,"6","1","3","1","4","1","4","3",2,0,"0","0","0",2,"2","1",2,"1","0"
"1",3,"2",80,"1","2","1",4,170,"6","1","3","4","1","1","4","6",2,0,"0","2","1",1,"6","9",2,"1","0"
"1",4,"2",250,"1","2","1",7,540,"4","1","3","2","1","1","4","6",3,0,"0","0","0",2,"7","3",6,"1","0"
"1",2,"2",80,"3",NA,"1",4,90,"1","2",NA,NA,"2","4","4","6",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",3,"2",20,"3",NA,"1",6,340,"2","2",NA,NA,"1","4","4","7",NA,0,"0","1","1",NA,NA,NA,2,NA,"0"
"1",2,"2",30,"1","2","3",4,1400,"7","1","3",NA,"1","6","4","4",NA,0,"0","1","1",NA,NA,NA,0,"2","0"
"1",3,"2",130,"1","2","1",7,600,"6","1","3",NA,"1","6","4","3",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",3,"2",130,"1","2","1",6,750,"3","1","2","1","1","1","2","5",4,2,"1","0","0",2,"4","1",2,"1","0"
"1",3,"2",120,"1","2","3",8,500,"3","1","3",NA,"1","7","4","7",NA,0,"0","2","2",NA,NA,NA,1,"2","0"
"1",2,"2",250,"1","1","1",7,1200,"6","1","2",NA,"1","7","4","6",NA,0,"0","1","0",NA,NA,NA,1,"2","0"
"1",3,"2",120,"1","2","1",5,100,"3","1","1","2","4","1","4","2",2,0,"0","1","0",1,"3","3",2,"1","0"
"1",3,"2",120,"1","2","1",5,850,"3","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"1","0"
"1",3,"2",230,"1","2","1",6,1400,"7","1","1","4","1","1","4","5",4,0,"0","2","1",2,"9","9",4,"2","0"
"1",4,"2",480,"1","2","3",8,190,"7","1","3","7","1","3","4","3",2,0,"0","1","1",1,"14","13",2,"1","0"
"1",4,"2",140,"1","2","1",8,1100,"10","1","3","2","1","1","2","4",4,2,"1","0","0",1,"3","3",3,"1","0"
"1",3,"2",160,"1","1","3",6,600,"6","1","3","1","1","1","4","5",2,0,"0","0","0",1,"7","2",2,"1","0"
"1",2,"2",20,"1","2","1",6,600,"6","1","3",NA,"1","6","4","4",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",5,"2",150,"1","2","1",8,1200,"1","1","2","1","2","1","3","4",5,3,"1","0","0",2,"4","1",2,"1","0"
"1",2,"1",70,"1","2","3",4,1,"5","2",NA,NA,"2","6","4","3",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",4,"2",230,"1","2","1",6,1400,"7","1","3","1","4","1","4","5",5,0,"0","2","2",2,"3","4",4,"2","0"
"1",3,"2",150,"1","2","3",6,840,"6","1","2","1","1","1","4","6",5,0,"0","0","0",3,"1","1",2,"2","0"
"1",2,"2",330,"3",NA,"1",5,830,"6","2",NA,"4","1","1","4","6",2,0,"0","2","2",0,"9","9",2,NA,"0"
"1",2,"2",30,"1","2","1",4,1300,"5","2",NA,"4","4","1","4","6",2,0,"0","2","2",0,"9","9",1,"2","0"
"1",7,"2",550,"1","1","1",10,1500,"4","1","3","5","4","2","2","3",7,3,"1","0","0",1,"10","10",2,"2","1"
"1",3,"2",2,"1","2","3",4,200,"3","2",NA,"5","2","2","3","5",8,3,"1","0","0",2,"10","10",5,"1","0"
"1",3,"3",60,"3",NA,"1",5,1700,"5","1","3","3","1","1","4","7",2,0,"0","2","0",1,"7","7",1,NA,"0"
"2",3,"2",30,"3",NA,"2",4,780,"6","2",NA,NA,"1","6","4","6",NA,0,"0","1","1",NA,NA,NA,0,NA,"0"
"1",3,"2",130,"1","2","1",7,50,"7","2",NA,"2","1","1","4","6",2,0,"0","0","0",1,"3","3",3,"2","0"
"1",4,"2",200,"1","2","1",8,780,"1","1","3","1","1","1","2","5",4,2,"1","0","0",2,"4","1",2,"1","1"
"1",3,"2",150,"1","2","3",7,1200,"3","1","3","1","2","1","2","4",4,1,"1","0","0",2,"1","1",3,"2","0"
"1",4,"2",180,"1","2","1",9,970,"1","1","3",NA,"1","6","4","6",NA,0,"0","1","1",NA,NA,NA,2,"2","0"
"1",3,"2",100,"1","2","1",7,1000,"3","1","3","4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,"2","0"
"1",3,"2",70,"1","2","1",7,710,"4","2",NA,"4","4","1","4","7",2,0,"0","2","2",0,"9","9",2,"2","0"
"1",2,"2",80,"1","2","1",6,1300,"1","2",NA,"3","2","1","4","7",3,0,"0","1","0",2,"7","7",0,"1","0"
"1",4,"2",400,"1","1","1",10,360,"10","2",NA,"1","2","1","4","4",3,0,"0","1","1",2,"1","1",3,"1","1"
"1",4,"2",130,"1","2","3",7,180,"3","1","3","1","1","1","1","2",3,1,"1","0","0",2,"1","1",2,"2","1"
"1",4,"2",120,"1","2","1",9,180,"6","1","3","1","2","1","4","5",4,0,"0","0","0",3,"1","1",5,"2","0"
"2",3,"2",180,"1","2","1",5,740,"3","1","3","1","2","1","4","5",3,0,"0","0","0",2,"4","1",4,"2","0"
"1",3,"3",120,"1","2","1",6,1,"5","1","3",NA,"1","4","4","1",NA,0,"0","1","0",NA,NA,NA,1,"1","0"
"1",4,"2",50,"1","2","3",8,2400,"4","1","3","2","2","1","1","6",5,1,"1","0","0",3,"3","3",4,"2","0"
"1",2,"1",100,"3",NA,"3",5,800,"5","2",NA,"4","1","1","4","7",2,0,"0","2","2",0,"9","9",2,NA,"0"
"2",3,"2",400,"1","2","9",7,300,"3","1","3","7","2","3","2","7",5,1,"1","2","2",3,"13","13",0,"1","0"
"1",2,"2",200,"1","2","1",6,1400,"3","2",NA,"4","4","1","2","7",5,2,"1","2","2",0,"9","9",3,"1","0"
"2",3,"2",160,"1","2","2",7,1200,"5","1","1","4","3","1","4","7",2,0,"0","2","2",1,"6","9",2,"1","0"
"1",4,"2",200,"1","2","1",7,1900,"6","2",NA,"1","2","1","3","3",6,4,"1","0","0",2,"4","1",2,"1","0"
"1",3,"2",200,"1","2","1",8,1500,"1","1","3","2","1","1","1","4",4,2,"1","0","0",1,"3","3",2,"1","1"
"1",2,"2",80,"1","2","1",3,1200,"1","1","3","1","1","1","2","6",3,1,"1","0","0",2,"2","1",2,"2","0"
"1",3,"2",150,"1","2","1",6,70,"4","1","3","1","1","1","4","6",3,0,"0","1","0",3,"1","1",3,"1","0"
"1",3,"2",120,"1","2","3",6,220,"6","1","3","2","1","1","4","6",3,0,"0","0","0",1,"8","3",3,"1","0"
"1",2,"2",120,"1","2","9",6,2,"4","1","3",NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,1,"2","0"
"1",3,"2",90,"1","2","3",8,70,"4","1","3","7","1","3","2","7",3,2,"1","0","0",1,"13","13",1,"1","0"
"2",5,"2",120,"1","2","7",9,2100,"5","1","3","8","1","3","4","7",3,0,"0","1","1",2,"15","15",3,"2","0"
"1",5,"2",130,"1","1","1",9,400,"4","1","3","1","1","1","2","6",4,1,"1","0","0",2,"1","1",3,"2","1"
"1",3,"2",280,"1","2","1",8,120,"1","1","2","2","2","1","2","5",4,2,"1","0","0",1,"6","3",4,"2","0"
"1",3,"2",30,"1","2","1",6,1200,"1","2",NA,"1","1","1","4","6",3,0,"0","2","1",2,"5","1",2,"2","0"
"1",4,"3",200,"1","2","3",7,1900,"5","1","3","1","1","1","2","6",4,1,"1","1","1",1,"6","4",2,"1","0"
"1",4,"2",40,"1","2","1",6,100,"14","1","3","1","4","1","2","3",4,2,"1","0","0",2,"1","1",2,"1","1"
"1",3,"2",170,"1","2","1",8,2000,"1","1","3","3","1","1","4","5",2,0,"0","2","1",1,"7","7",2,"2","0"
"1",3,"2",140,"1","2","1",6,1200,"3","2",NA,"1","2","1","3","4",5,3,"1","0","0",2,"5","1",3,"1","0"
"1",3,"2",90,"1","2","1",6,450,"5","1","3",NA,"1","6","4","5",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",3,"2",70,"1","1","1",6,800,"6","2",NA,NA,"1","6","4","5",NA,0,"0","0","0",NA,NA,NA,1,"1","0"
"1",2,"2",70,"3",NA,"1",4,110,"2","2",NA,"1","1","1","4","7",2,0,"0","2","0",2,"1","1",0,NA,"0"
"1",4,"2",70,"1","2","1",7,1100,"9","1","3","2","2","1","2","4",5,3,"1","0","0",1,"3","3",2,"1","0"
"1",2,"2",30,"1","2","1",5,1900,"2","1","3","1","4","1","4","4",3,0,"0","1","1",3,"2","1",3,"1","0"
"1",4,"2",100,"1","2","1",8,600,"7","1","2","1","1","1","4","5",2,0,"0","0","0",2,"1","1",3,"1","1"
"1",3,"2",120,"1","2","1",8,400,"3","1","3","7","3","3","4","6",2,0,"0","1","0",2,"13","13",3,"1","0"
"1",4,"2",400,"1","1","3",8,1800,"1","1","3","1","1","1","4","3",2,0,"0","2","0",2,"4","1",3,"1","1"
"2",2,"2",110,"3",NA,"6",8,2,"3","2",NA,NA,"1","4","4","7",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"2",3,"2",300,"1","2","3",8,1200,"6","1","3","1","1","1","2","5",3,1,"1","0","0",2,"1","1",3,"1","0"
"1",3,"2",120,"1","2","3",5,3000,"3","1","3","7","4","3","2","4",5,1,"1","1","0",2,"13","13",3,"2","0"
"1",4,"2",500,"1","2","1",6,3000,"1","1","3",NA,"1","4","4","6",NA,0,"0","1","1",NA,NA,NA,1,"1","0"
"1",4,"2",100,"1","2","1",6,1200,"7","1","3","3","1","1","4","6",3,0,"0","0","0",2,"7","7",3,"1","0"
"1",3,"2",40,"3",NA,"1",6,850,"3","2",NA,NA,"1","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
"1",2,"1",20,"3",NA,"9",4,50,"4","2",NA,"2","2","1","2","4",5,3,"1","0","0",1,"3","3",1,NA,"0"
"2",4,"2",130,"1","2","1",9,350,"8","2",NA,"4","1","1","4","1",2,0,"0","2","1",0,"9","9",2,"2","0"
"1",5,"2",60,"1","2","1",11,50,"8","1","3","5","4","2","2","3",4,1,"1","2","2",1,"11","10",2,"2","0"
"1",3,"2",70,"1","2","1",7,70,"5","1","3",NA,"3","7","4","7",NA,0,"0","2","2",NA,NA,NA,2,"1","0"
"1",3,"2",140,"1","1","1",5,600,"11","1","3","1","2","1","3","3",5,3,"1","0","0",1,"7","2",2,"1","0"
"1",3,"2",50,"1","1","3",6,1600,"5","1","3","1","2","1","4","3",4,0,"0","0","0",3,"2","1",5,"2","0"
"1",3,"3",50,"1","2","3",7,80,"11","1","3","2","3","1","4","4",4,0,"0","1","1",2,"7","3",4,"1","0"
"1",4,"2",60,"1","2","1",9,2300,"5","2",NA,"2","1","1","4","6",2,0,"0","1","0",2,"1","3",3,"1","1"
"1",2,"2",40,"1","2","6",4,40,"6","1","3","8","1","3","4","5",2,0,"0","1","1",0,"15","15",2,"2","0"
"1",3,"2",100,"1","2","1",4,1400,"10","1","3","6","2","2","4","4",2,0,"0","1","1",1,"12","12",4,"2","0"
"1",4,"2",100,"1","2","3",6,960,"1","1","1","1","2","1","3","5",6,2,"1","2","2",2,"4","1",3,"2","0"
"2",4,"2",350,"1","2","2",10,2,"4","1","3","1","1","1","2","5",4,1,"1","0","0",3,"1","1",6,"2","1"
"1",3,"2",50,"1","2","1",6,440,"1","1","3","1","1","1","4","6",2,0,"0","2","2",2,"1","1",1,"1","1"
"1",3,"2",300,"1","2","1",6,1500,"3","1","3","2","1","1","2","5",4,2,"1","0","0",2,"7","3",2,"2","0"
"1",4,"2",50,"3",NA,"1",8,70,"4","2",NA,NA,"3","6","4","7",NA,0,"0","1","1",NA,NA,NA,1,NA,"0"
